ScheduleActivityID,ActivityScheduleTaskID,Rel,TaskType,Predecessor,PredecessorScheduleTaskID
CWA ASU-1A05 - Set 101-E628 LOX STORAGE TANK PBU,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E649 LOX VAPORISER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E721 LIN AMBIENT VAPORISER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E728 LP LIN STORAGE TANK PBU,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E739 LIN STORAGE TANK PBU,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E747A HP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E747B HP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E748 HP GAN TRIM HEATER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E749 N2 STEAM SPARGED VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E753 LP GAN TRIM HEATER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E754A LP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E754B LP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E754C LP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E754D LP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E754E LP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E754F LP LIN AMBIENT VAPORIZER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-G741B,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-G991A WASTE WATER LIFT PUMP,,FS,Construct,,
CWA ASU-1A05 - Set 101-G991B WASTE WATER LIFT PUMP,,FS,Construct,,
CWA ASU-1A05 - Set 101-K661A GOX Booster Compressor,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-K661B GOX Booster Compressor,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-T621 LOX FLAT BOTTOM STORAGE TANK,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-T721 LIN FLAT BOTTOM STORAGE TANK,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-T732 LIN MP STORAGE TANK,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-V891A WEIGH SCALE SYSTEM,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-V891B WEIGH SCALE SYSTEM,,FS,Construct,,
Set U001,,FS,Construct,,
Set U002,,FS,Construct,,
Set U003,,FS,Construct,CWA ASU-1A01 - Install Primary Steel,9
